DATE,FROM,TO,TYPE,W,NOTE
2026-07-09,수강생05,수강생13,NEG,2,작업 방식에서 마찰
2026-07-09,수강생13,수강생05,NEG,3,작업 방식에서 마찰
2026-07-09,수강생17,수강생03,NEG,3,역할 분배로 불만
2026-07-09,수강생03,수강생17,NEG,2,작업 방식에서 마찰
2026-07-09,수강생15,수강생13,POS,2,함께하고 싶은 팀원 (추진력)
2026-07-09,수강생03,수강생06,POS,2,작업 합이 좋음
2026-07-09,수강생06,수강생05,POS,2,소통이 잘 됨
2026-07-09,수강생07,수강생01,POS,1,
2026-07-09,수강생09,수강생07,POS,1,
2026-07-09,수강생10,수강생17,POS,1,
2026-07-09,수강생08,수강생19,POS,1,
2026-07-09,수강생11,수강생09,POS,1,
2026-07-09,수강생18,수강생14,POS,1,
2026-07-09,수강생05,수강생02,POS,1,
